oss,exec_medio_mensal,n_hospitais,n_meses,multiplo_HUGOL,capacidade_50_HUGOL,capacidade_100_HUGOL,score_capacidade,nivel
AGIR,30257368.599142857,2,35,0.817413177329566,Sim,Não,4,Forte
Albert Einstein,19840112.2055,1,20,0.5359874274371723,Sim,Não,2,Limitado
FUNEV,11475078.824518519,1,27,0.31000318521824866,Não,Não,2,Limitado
IMED,5367292.830434782,2,46,0.14499925437363315,Não,Não,2,Limitado
ISG,8121461.476785714,1,28,0.21940406379182426,Não,Não,1,Crítico
IPGSE,6598811.1305,1,20,0.17826914310494643,Não,Não,0,Inviável
Instituto Patris,4825884.538888888,1,27,0.13037292391878857,Não,Não,1,Crítico
ABEVIDA,2956883.941,2,30,0.07988123254300603,Não,Não,2,Limitado
Hospital de Amor,4302709.544615384,1,13,0.11623917223555075,Não,Não,0,Inviável
IGH,2970559.433333333,1,15,0.0802506806529138,Não,Não,0,Inviável
