hospital,n_meses,primeiro_mes,ultimo_mes,pct_com_executados,pct_com_consultas,pct_com_perc_fisica,pct_com_perc_financ,executados_mediana
CORA,13,2025-04,2026-04,100.0,77.0,8.0,92.0,4673327.0
CREDEQ,67,2018-01,2024-02,100.0,51.0,18.0,96.0,2252657.0
CRESM,74,2018-01,2026-04,45.0,86.0,4.0,45.0,3019833.0
HDT,40,2023-01,2026-04,98.0,75.0,75.0,98.0,8121209.0
HEANA,43,2022-05,2026-03,98.0,98.0,14.0,98.0,10691979.0
HEAPA,30,2022-03,2025-03,90.0,67.0,40.0,63.0,6072638.0
HEJ,8,2025-09,2026-12,88.0,100.0,38.0,88.0,9728010.0
HEL,45,2022-07,2026-03,53.0,98.0,69.0,53.0,5403581.0
HERSO,20,2024-09,2026-04,100.0,100.0,15.0,100.0,6512876.0
HETRIN,41,2022-12,2026-04,95.0,98.0,10.0,95.0,6351828.0
HUGO,20,2024-08,2026-03,70.0,100.0,30.0,70.0,27632738.0
HUGOL,45,2022-07,2026-03,87.0,98.0,36.0,87.0,34566593.0
PFRE,18,2024-07,2026-03,67.0,89.0,72.0,67.0,2139560.0
