oss,n_meses,n_hospitais,exec_total,receb_total,pct_exec,pct_cumul
AGIR,35,2,1059007900.97,1075225395.7,39.347714851146975,39.347714851146975
Albert Einstein,20,1,396802244.11,381404948.55,14.743290903905912,54.09100575505289
FUNEV,27,1,309827128.262,295930027.75,11.511707783139824,65.60271353819272
IMED,46,2,246895470.2,185820405.49,9.173465609247291,74.77617914744
ISG,28,1,227400921.35,230363534.76,8.449140560681592,83.22531970812159
IPGSE,20,1,131976222.61,136929868.84,4.903610983103406,88.128930691225
Instituto Patris,27,1,130298882.55,137337410.2,4.841288975563299,92.9702196667883
ABEVIDA,30,2,88706518.23,87000765.99,3.2959138279847346,96.26613349477303
Hospital de Amor,13,1,55935224.08,52279830.49,2.078287843951788,98.34442133872481
IGH,15,1,44558391.5,39357989.800000004,1.655578661275199,100.00000000000001
