_ano_pasta,_doc_path,_filename,categorias_gasto_count,fluxo_de_caixa_count,hospital,metricas_unitarias.custo_por_cirurgia,metricas_unitarias.custo_por_consulta,metricas_unitarias.custo_por_internacao,metricas_unitarias.custo_por_leito_mes,observacoes,oss_gestora,periodo.ano,periodo.mes,periodo.tipo_periodo,periodo.trimestre,rubricas_contabeis_detalhadas_count,valores_consolidados.recursos_devolvidos,valores_consolidados.recursos_executados,valores_consolidados.recursos_recebidos_outras_fontes,valores_consolidados.recursos_recebidos_ses,valores_consolidados.saldo_a_pagar,valores_consolidados.saldo_empenhado,valores_consolidados.saldo_final,valores_consolidados.saldo_inicial
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,8,1,HDT,,,,,"Contrato de Gestão 091/2012 SES/GO - 15º Termo Aditivo (vigência 25/06/2022 a 24/06/2023). Previsão de repasse mensal custeio: R$ 10.268.109,51. Repasse efetivamente recebido em jan/2023: R$ 8.447.878,61. Glosas totais: R$ 1.998.947,95 (servidores cedidos folha 12/2022: R$ 1.919.278,77; residência médica 12/2022: R$ 19.709,23; energia elétrica 12/2022: R$ 59.959,95). Saldo final em 31/01/2023: R$ 4.482.398,17. Resgate de aplicações financeiras: R$ 7.662.343,15. Total aplicado: R$ 8.921.771,21.",ISG,2023,1,mensal,,11,0.0,7353671.85,32726.13,8447878.61,,,4482398.17,3355464.28
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,7,1,HDT,,,,,"Contrato de Gestão 091/2012 SES/GO, 15º Termo Aditivo, vigência 25/06/2022 a 24/06/2023. Previsão de repasse mensal custeio: R$ 10.268.109,51. Repasse efetivo de custeio foi R$ 6.748.109,51. O mapa de repasses/glosas da competência não foi disponibilizado pela SES, portanto glosas não foram informadas. Saldo bancário final em 28/02/2023.",ISG,2023,2,mensal,,17,0.0,7725270.55,13171.75,6748109.51,,,3518408.88,4482398.17
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,8,1,HDT,,,,,"Contrato de Gestão nº 091/2012 SES/GO - 15º Termo Aditivo (vigência 25/06/2022 a 24/06/2023). Previsão de repasse mensal custeio: R$ 10.268.109,51. Repasse efetivo custeio março/2023: R$ 8.447.878,61. Rendimentos financeiros: R$ 65.541,19. Outras entradas incluem aporte fundo fixo (R$ 3.300,00), restituição fundo fixo (R$ 2.657,87) e estorno de pagamentos a fornecedores (R$ 63.744,18). Total glosas: zero. Mapa de repasses/glosas da competência não disponibilizado pela SES na data do relatório. Saldo final composto por fundo fixo caixa (R$ 1.824,21), aplicação automática (R$ 383.728,77) e aplicação CDB (R$ 4.286.574,58).",ISG,2023,3,mensal,,13,0.0,7429403.17,135243.24,8447878.61,,,4672127.56,3518408.88
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,8,1,HDT,,,,,"Competência abril/2023. Contrato de Gestão 091/2012 SES/GO - 15º Termo Aditivo (25/06/2022 a 24/06/2023). Previsão de repasse mensal custeio: R$ 10.268.109,51. Repasse efetivo custeio recebido: R$ 8.448.109,48. Saldo bancário final refere-se a 31/03/2023 conforme indicado no documento (provável erro de digitação, pois a competência é abril/2023). Nota explicativa: mapa de repasses/glosas da competência não foi disponibilizado pela SES, portanto valores de glosas não informados. Total das glosas: R$ 0,00.",ISG,2023,4,mensal,,10,0.0,7160518.07,84594.79,8448109.48,,,6044313.76,4672127.56
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,8,1,HDT,,,,,"Contrato de Gestão 091/2012 SES/GO - 15º Termo Aditivo vigência 25/06/2022 a 24/06/2023. Previsão de repasse mensal custeio: R$ 10.268.109,51. Repasse efetivamente recebido em maio/2023: R$ 9.077.229,73. Total glosas: R$ 1.550.908,96. Rendimentos sobre aplicações financeiras: R$ 34.528,78. Resgate de aplicação financeira: R$ 9.570.843,30. Total aplicação financeira: R$ 10.708.266,82. Saldo bancário final em 31/05/2023: R$ 7.433.911,91.",ISG,2023,5,mensal,,13,0.0,7956924.74,269293.16,9077229.73,,,7433911.91,6044313.76
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\06.2023-Fluxo-de-Caixa-HDT.pdf-ass.pdf,06.2023-Fluxo-de-Caixa-HDT.pdf-ass,7,1,HDT,,,,,"Contrato de Gestão 091/2012 SES/GO. Previsão de repasse mensal custeio: R$10.268.109,51. Vigência: 25/06/2022 a 24/06/2023 (15º Termo Aditivo). Saldo bancário final em 30/06/2023. Valores devolvidos à contratante: zero. Total de glosas: zero. Os recursos_recebidos_outras_fontes somam rendimentos financeiros + outras entradas (68131,27 + 3300,00 + 770,80 + 3635,97 + 18259,67 = 94097,71).",ISG,2023,6,mensal,,19,0.0,9992662.4,94097.71,6624211.48,,,4159558.7,7433911.91
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\07.2023-Fluxo-de-Caixa-HDT.pdf,07.2023-Fluxo-de-Caixa-HDT,8,1,HDT,,,,,"Contrato de Gestão 091/2012 SES/GO - 16º Termo Aditivo (vigência 25/06/2023 a 24/06/2024). Previsão de repasse mensal de custeio: R$ 8.623.620,84. Repasse efetivo de custeio no mês: R$ 9.607.454,57. Glosas totais: R$ 1.516.750,90 (servidores cedidos folha 06/2023: R$ 1.480.781,55; residência médica 06/2023: R$ 35.969,35). Rendimento sobre aplicações financeiras: R$ 32.537,02. Total resgates de aplicação: R$ 5.792.156,02. Total aplicações financeiras: R$ 7.725.464,22. Valores devolvidos à contratante: R$ 0,00.",ISG,2023,7,mensal,,11,0.0,7593029.39,79772.62,9607454.57,,,6253756.5,4159558.7
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\08.2023-Fluxo-de-Caixa-HDT.pdf,08.2023-Fluxo-de-Caixa-HDT,6,1,HDT,,,,,"Contrato de Gestão 091/2012 SES/GO - 16º Termo Aditivo (vigência 25/06/2023 a 24/06/2024). Previsão de repasse mensal custeio: R$ 8.623.620,84. Repasse efetivo no mês: R$ 6.579.447,59. Rendimento sobre aplicações financeiras (custeio): R$ 76.678,81. Resgate de aplicação financeira: R$ 8.061.834,94. Nova aplicação financeira: R$ 7.064.565,10. Total de glosas: R$ 0,00. Nota: mapa de repasses/glosas da competência não foi disponibilizado pela SES.",ISG,2023,8,mensal,,15,0.0,7922668.49,82693.81,6579447.59,,,4992229.85,6253756.5
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\09.2023-Fluxo-de-Caixa-HDT.pdf,09.2023-Fluxo-de-Caixa-HDT,7,1,HDT,,,,,"Repasse SES Custeio: R$ 7.219.315,12. Repasse Investimento: R$ 0. Rendimentos sobre aplicações: R$ 35.306,95. Outras entradas incluem: aporte fundo fixo 09/2023 (R$ 3.300,00), restituição fundo fixo 08/2023 (R$ 1.173,14), devolução de pagamento indevido (R$ 66.864,25). Saldo anterior: R$ 4.992.229,85. Saldo final em 30/09/2023: R$ 4.206.218,67. Valores devolvidos à contratante: R$ 0. Contrato de Gestão 091/2012 SES/GO - 16º Termo Aditivo vigência 25/06/2023 a 24/06/2024. Nota explicativa: mapa de repasses/glosas da competência não disponibilizado pela SES, impossível informar valores de glosas.",ISG,2023,9,mensal,,15,0.0,8111970.64,106644.34,7219315.12,,,4206218.67,4992229.85
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1 Relatório financeiro Mensal Heana.pdf,1 Relatório financeiro Mensal Heana,8,1,HEANA,,,,,"Relatório Financeiro Mensal de abril/2023 do Hospital Estadual de Anápolis Dr. Henrique Santillo (HEANA), gerido pela FUNEV, Contrato de Gestão nº 66/2019. Previsão de repasse mensal custeio: R$ 9.790.097,96. Repasse efetivo custeio: R$ 9.451.692,43. Outras entradas negativas (-R$ 999.648,42) referem-se a movimentações financeiras/valores a recuperar. Total de glosas: R$ 95.167,45 (servidores cedidos: R$ 31.230,99; ENEL: R$ 63.936,46). Saldo bancário final em 30/04/2023: R$ 11.013.506,88.",FUNEV,2023,4,mensal,,15,0.0,7545640.85,,9451692.43,,,11013506.88,9999928.95
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\10.2023-Fluxo-de-Caixa-HDT-1.pdf,10.2023-Fluxo-de-Caixa-HDT-1,7,1,HDT,,,,,"Contrato de Gestão 091/2012 SES/GO - 16º Termo Aditivo (vigência 25/06/2023 a 24/06/2024). Previsão de repasse mensal custeio: R$ 8.623.620,84. Repasse efetivo recebido no mês: R$ 7.308.371,76 (diferença devida a glosas de servidores cedidos no total de R$ 1.452.535,92). Nota explicativa: mapa de repasses/glosas da competência ainda não havia sido disponibilizado pela SES. Resgate de aplicação financeira: R$ 8.287.265,67. Aplicação financeira realizada no mês: R$ 7.413.901,22.",ISG,2023,10,mensal,,16,0.0,7803179.37,71279.52,7308371.76,,,3782388.58,4206218.67
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\11.2023-Fluxo-de-Caixa-HDT.pdf,11.2023-Fluxo-de-Caixa-HDT,9,1,HDT,,,,,"Competência: Novembro/2023. Contrato de Gestão nº 091/2012 SES/GO - 16º Termo Aditivo (25/06/2023 a 24/06/2024). Previsão de repasse mensal de custeio: R$ 8.623.620,84. Repasse recebido no mês: R$ 6.819.360,36 (custeio). Glosas totais: R$ 1.397.322,49 (servidores cedidos folha 10/2023: R$ 1.342.919,95; residência médica 10/2023: R$ 31.042,04; energia elétrica 10/2023: R$ 23.360,50). Nota: mapa de repasses/glosas da competência não foi disponibilizado pela SES.",ISG,2023,11,mensal,,13,0.0,8261149.11,112830.23,6819360.36,,,2453270.15,3782228.67
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\12.2023-Fluxo-de-Caixa-Sipef-HDT.pdf,12.2023-Fluxo-de-Caixa-Sipef-HDT,7,1,HDT,,,,,"Contrato de Gestão nº 091/2012 SES/GO - 16º Termo Aditivo (vigência 25/06/2023 a 24/06/2024). Previsão de repasse mensal de custeio: R$ 8.623.620,84. Repasse efetivo de custeio recebido: R$ 7.316.519,19. Rendimentos sobre aplicações financeiras: R$ 35.883,07. Resgates de aplicação financeira: R$ 11.452.388,56. Saldo bancário final em 29/12/2023. Total de glosas: R$ 83.135,94 (Energia Elétrica). Nota explicativa: mapa de repasses/glosas da competência não foi disponibilizado pela SES.",ISG,2023,12,mensal,,13,0.0,8688869.69,112393.89,7316519.19,,,1192912.62,2453270.15
