_ano_pasta,_doc_path,_filename,data_assinatura,data_publicacao_doe,fonte_recurso,hospital,indicadores_qualidade_count,metas_fisicas_count,numero_aditivo,numero_contrato,objeto,observacoes,oss_gestora,partes.contratada_oss,partes.contratante,partes.secretaria_supervisora,penalidades_count,recursos_humanos_minimos_count,servicos_especialidades_count,tipo_documento,valor_anual,valor_mensal,valor_total,vigencia.data_fim,vigencia.data_inicio,vigencia.duracao_meses,vigencia.prorrogavel
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,2020-08-31,,Transferências de Recursos - Bloco Custeio das Ações e Serviços (Fonte 232) / Fundo Estadual de Saúde - FES,HSLMB,3,5,,50/2020,"Gerenciamento, operacionalização e execução das ações e serviços de saúde no Hospital de Campanha implantado nas dependências do Hospital Municipal Dr. Geraldo Londó, em São Luís de Montes Belos, para atendimento em regime de 24 horas por dia de casos de coronavírus e/ou síndromes respiratórias agudas","Contrato de Gestão Emergencial celebrado em caráter emergencial para enfrentamento da COVID-19, com dispensa de chamamento público (Declaração nº 4/2020 CCONT). Vigência de 90 dias contados da outorga pela Procuradora-Geral do Estado (assinatura em 31/08/2020). Repasse em 3 parcelas mensais iguais de R$ 2.954.027,51. Unidade: Hospital de Campanha COVID-19 / São Luís de Montes Belos, CNES 2382474. Capacidade: 10 leitos críticos e 40 leitos semicríticos. Fundo de provisão para rescisões trabalhistas: 3% do valor repassado para pessoal CLT. O documento inclui Termos de Permissão de Uso de Bens Móveis e Imóveis como Anexos V e VI.",IMED,"Instituto de Medicina, Estudos e Desenvolvimento - IMED","Estado de Goiás, por meio da Secretaria de Estado da Saúde – SES/GO",Secretaria de Estado da Saúde de Goiás – SES/GO,7,0,9,contrato_gestao_inicial,,2954027.51,8862082.53,,,,False
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-04_PublicathOo_Contrato_SOo-LuYs.pdf,2021-04_PublicathOo_Contrato_SOo-LuYs,,2020-10-26,Tesouro Estadual - Dotação 2850.10.302.1043.2167.03.232.90,HSLMB,0,0,,50/2020,"Formação de parceria com vistas ao gerenciamento, operacionalização e à execução das atividades no HOSPITAL DE CAMPANHA, implantado mediante a Portaria nº 538/2020-SES, nas dependências do HOSPITAL MUNICIPAL DR. GERALDO LONDÓ, localizado na Rua 3, S/N, Vila Popular, CEP 76100-000, na cidade de São Luís de Montes Belos, Goiás, para atendimento em regime de 24 horas por dia de casos de coronavírus e/ou síndromes respiratórias agudas","Contrato emergencial - Processo 202000010028333. Signatários: Juliana Pereira Diniz Prudente (Procuradora-Geral do Estado), Ismael Alexandrino (Secretário de Estado da Saúde) e André Fonseca Leme (IMED). Hospital de Campanha implantado conforme Portaria nº 538/2020-SES, publicada no DOE nº 23.292 de 30/04/2020. Vigência de 90 dias a partir de 18/10/2020.",IMED,"Instituto de Medicina, Estudos e Desenvolvimento - IMED",Estado de Goiás - Secretaria de Estado da Saúde (SES/GO),Secretaria de Estado da Saúde de Goiás,0,0,3,contrato_gestao_inicial,,,8862082.53,,2020-10-18,3,False
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,2021-04-14,,"Receitas Ordinárias – Fundo Estadual de Saúde (FES), Unidade Orçamentária 2850, Fonte 100",HSLMB,8,18,,21/2021,"Gerenciamento, operacionalização e execução das ações e serviços de saúde nas dependências do Hospital Regional de São Luís de Montes Belos Dr. Geraldo Landó, em caráter emergencial, para atendimento em regime de 24 horas por dia, 7 dias na semana.","Contrato de Gestão Emergencial celebrado com fundamento na Lei estadual nº 20.769/2020. Vigência até 16/07/2021 ou até contratação decorrente de novo chamamento público, o que ocorrer primeiro. Prazo de 180 dias. O repasse é composto de 90% parte fixa (87% internações, 7% cirurgias, 6% ambulatorial) e 10% variável vinculado a indicadores de desempenho. Fundo de provisão de 3% do repasse para rescisões trabalhistas. Inclui Termo de Permissão de Uso de Bens Móveis e Imóveis (Anexos V e VI). CNES da unidade: 2382474.",IMED,"IMED - Instituto de Medicina, Estudos e Desenvolvimento","Estado de Goiás, por meio da Secretaria de Estado da Saúde – SES/GO",Secretaria de Estado da Saúde de Goiás – SES/GO,9,0,14,contrato_gestao_inicial,,2777101.29,16662607.74,2021-07-16,,6,False
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-PUBLICACAO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-PUBLICACAO,2021-05-05,2021-05-05,Tesouro Estadual - Dotação 2850.10.302.1043.2149.03.100.90,HSLMB,0,0,,21/2021,"Formação de parceria com vistas ao gerenciamento, operacionalização e à execução das atividades do Hospital Regional de São Luís de Montes Belos Dr. Geraldo Landó, localizado Ra 3, s/nº, Vila Popular, CEP 76100-000, São Luís de Montes Belos - Goiás, para atendimento, em regime de 24 (vinte e quatro) horas por dia, 7 (sete) dias na semana, nos termos do que se encontra detalhado no Termo de Referência e nos Anexos Técnicos.","Contrato de Gestão Emergencial. Vigência: a partir da data da publicação até 16/07/2021, ou até a contratação decorrente da conclusão de novo chamamento público, o que ocorrer primeiro. Processo nº 202000010042733. Signatários: Juliana Pereira Diniz Prudente (Procuradora-Geral do Estado), Ismael Alexandrino Junior (Secretário de Estado da Saúde) e André Fonseca Leme (IMED).",IMED,"IMED - Instituto de Medicina, Estudos e Desenvolvimento",Estado de Goiás - Secretaria de Estado da Saúde (SES/GO),Secretaria de Estado da Saúde de Goiás (SES/GO),0,0,0,contrato_gestao_inicial,,,16662607.74,2021-07-16,2021-05-05,,False
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_1-TERMO-ADITIVO-AO-CONTRATO-DE-GESTAO-EMERGENCIAL-N-46-2021.pdf,2021-10_1-TERMO-ADITIVO-AO-CONTRATO-DE-GESTAO-EMERGENCIAL-N-46-2021,2021-10-08,,,HSLMB,0,2,1,46/2021-SES/GO,Reorganização dos leitos de internação dedicados ao enfrentamento da pandemia COVID-19 (Enfermaria); readequação do valor de repasse mensal para o custeio do Contrato de Gestão Emergencial nº 46/2021/SES-GO; inclusão de subcláusula à Cláusula Nona do Contrato de Gestão Emergencial nº 46/2021/SES-GO referente a recursos humanos.,"O custeio mensal de R$ 5.091.522,77 é referente ao percentil 50, a partir de outubro/2021. Adicionadas subcláusulas 9.17 e 9.18 à Cláusula Nona (Recursos Humanos) do contrato original, referentes ao somatório de despesas de pessoal em múltiplos contratos de gestão. Processo administrativo nº 202100010026272.",IMED,"IMED - Instituto de Medicina, Estudos e Desenvolvimento","Estado de Goiás, por intermédio da Secretaria de Estado da Saúde",Secretaria de Estado da Saúde,0,0,2,termo_aditivo,,5091522.77,,,,,False
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,2021-10-07,,Transferências Fundo a Fundo do SUS - Bloco de Custeio das ASPS e Transferências de Recursos - Bloco Custeio das Ações e Serviços (Fundo Estadual de Saúde - FES),HSLMB,9,8,,46/2021,"Gerenciamento, operacionalização e execução das ações e serviços de saúde em regime de 24 horas/dia, no Hospital Regional São Luís de Montes Belos Dr. Geraldo Landó, em caráter emergencial, com vistas ao enfrentamento da emergência em saúde pública decorrente da pandemia do novo coronavírus (COVID-19).","Contrato de Gestão Emergencial celebrado sem chamamento público (Declaração nº 55/2021-CLICIT, ratificada pela Declaração nº 56/2021-CLICIT), com fundamento na Lei Estadual nº 20.972/2021 e Medida Provisória nº 1.047/2021, em razão da pandemia de COVID-19. Vigência condicionada à duração da emergência em saúde pública. Pagamento composto por parte fixa (90% = R$4.701.852,00/mês) e parte variável (10% = R$522.428,00/mês) vinculada a indicadores de desempenho. Fundo de provisão trabalhista de 3% sobre folha CLT. Total empenhado nas notas de empenho: R$30.997.934,67. Não há servidores cedidos para a unidade (conforme quadro de Jun/2021). O hospital possui 50 leitos SUS totais, sendo 10 UTI adulto COVID, 24 enfermaria COVID, 12 clínica geral e 4 obstetrícia. Processo administrativo nº 202100010026272. Documento assinado eletronicamente em 07/10/2021.",IMED,"IMED - Instituto de Medicina, Estudos e Desenvolvimento","Estado de Goiás, por meio da Secretaria de Estado da Saúde – SES/GO",Secretaria de Estado da Saúde de Goiás – SES/GO,7,5,17,contrato_gestao_inicial,,5224280.0,31345680.0,2022-01-16,2021-07-17,6,True
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_DIARIO-OFICIAL-DO-ESTADO-DE-GOIAS-14-10-2021.pdf,2021-10_DIARIO-OFICIAL-DO-ESTADO-DE-GOIAS-14-10-2021,,2021-10-14,,HSLMB,0,0,1,46/2021/SES-GO,1) Reorganização dos leitos de internação dedicados ao enfrentamento da pandemia COVID-19 (ENFERMARIA). 2) Readequação do valor de repasse mensal para o custeio do Contrato de Gestão Emergencial nº 46/2021/SES-GO. 3) Inclusão de sub cláusula à Cláusula Nona do Contrato de Gestão Emergencial nº 46/2021/SES-GO.,"Contrato de Gestão Emergencial. Processo nº 202100010026272. Signatários: Ismael Alexandrino Júnior - Secretário de Estado da Saúde; André Fonseca Lema - IMED Instituto de Medicina, Estudos e Desenvolvimento.",IMED,"IMED - Instituto de Medicina, Estudos e Desenvolvimento",Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde,0,0,2,termo_aditivo,,,,,2021-10-01,,False
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_PUBLICACAO_DOE-046-2021.pdf,2021-10_PUBLICACAO_DOE-046-2021,,2021-10-13,2850.10.302.1043.2167.03.238.90 / 2850.10.302.1043.2149.03.232.90,HSLMB,0,0,,46/2021-SES/GO,"Formação de parceria para o gerenciamento, operacionalização e execução das ações e serviços de saúde em regime de 24 horas/dia, no HOSPITAL REGIONAL SÃO LUÍS DE MONTES BELOS DR. GERALDO LANDÓ",Dotação Orçamentária: 2850.10.302.1043.2167.03.238.90 - 2850.10.302.1043.2149.03.232.90. Signatários: Ismael Alexandrino Júnior (Secretário de Estado da Saúde) e André Fonseca Leme (IMED). Processo nº 202100010026272.,IMED,"IMED - Instituto de Medicina, Estudos e Desenvolvimento",Secretaria de Estado da Saúde de Goiás - SES/GO,Secretaria de Estado da Saúde de Goiás - SES/GO,0,0,0,contrato_gestao_inicial,,,31345680.0,2022-01-16,2021-07-17,6,False
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_Contrato-024-22.pdf,2022-05_Contrato-024-22,2022-04-20,,Recursos não Vinculados de Impostos - Receitas Ordinárias (Fundo Estadual de Saúde – FES),HSLMB,9,15,,24/2022,"Ajuste de Parceria na forma de Contrato de Gestão Emergencial para o fomento, gerenciamento, operacionalização e execução das ações e serviços de saúde em regime de 24 horas/dia no Hospital Regional São Luís de Montes Belos Dr. Geraldo Landó","Contrato de Gestão Emergencial celebrado com fundamento no art. 24, inciso IV, da Lei federal nº 8.666/1993, com dispensa de chamamento público. Vigência: da publicação do resumo na imprensa oficial até 18/07/2022, ou até a contratação decorrente da conclusão de chamamento público, o que ocorrer primeiro (180 dias). Repasse composto de parte fixa (90% = R$3.318.739,99/mês) e parte variável (10% = R$368.748,89/mês). O hospital possui 50 leitos (10 UTI adulto, 16 clínico adulto, 20 clínico cirúrgico, 4 obstetrícia). Não há servidores cedidos para a unidade (ref. NOV/2021). Fundo de provisão de 3% do repasse CLT para rescisões trabalhistas. Processo administrativo nº 202100010050416.",IMED,"IMED - Instituto de Medicina, Estudos e Desenvolvimento","Estado de Goiás, por meio da Secretaria de Estado da Saúde – SES/GO",Secretaria de Estado da Saúde de Goiás – SES/GO,8,4,30,contrato_gestao_inicial,,3687488.88,22124933.28,2022-07-18,,6,False
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_diario_oficial_2022-04-20_suplemento_pag_2.pdf,2022-05_diario_oficial_2022-04-20_suplemento_pag_2,,2022-04-20,Tesouro Estadual,HSLMB,0,0,,24/2022-SES/GO,"Formação de parceria para o fomento, gerenciamento, operacionalização e execução das ações e serviços de saúde no Hospital Regional São Luís de Montes Belos Dr. Geraldo Landó.","Contrato de gestão emergencial. Vigência: a partir da publicação do resumo na imprensa oficial até 18/07/2022, ou até a contratação decorrente da conclusão de chamamento público, o que ocorrer primeiro. Processo nº 202100010050416. Dotação Orçamentária: 2850.10.302.1043.2149.03.15000100.90. Signatários: Sandro Rogério Rodrigues Batista (Secretário de Estado da Saúde) e André Fonseca Leme (IMED).",IMED,"IMED - Instituto de Medicina, Estudos e Desenvolvimento",Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde,0,0,0,contrato_gestao_inicial,,,22124933.28,2022-07-18,,,False
