_ano_pasta,_doc_path,_filename,descricao,fonte_dados,hospital,meta,nome,oss_gestora,peso,tipo_documento
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,Relação percentual entre o número de pacientes-dia em determinado período e o número de leitos-dia no mesmo período. Taxa abaixo de 75% pode indicar inadequação.,SIH/SIA,HSLMB,100%,Taxa de Ocupação Hospitalar,IMED,0,contrato_gestao_inicial
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,"Relação entre o total de pacientes-dia no período e o total de pacientes egressos do hospital (altas, transferências externas e óbitos).",SIH,HSLMB,,Média de Permanência Hospitalar (Dias),IMED,0,contrato_gestao_inicial
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,"Monitora e avalia reações adversas a medicamentos (leve, moderada, grave) pelo farmacêutico. Fórmula: [Nº de pacientes que apresentaram RAM / Nº total de pacientes atendidos com medicação prescrita] x 100",Registro hospitalar,HSLMB,,Farmacovigilância: Avaliar reações adversas a medicamentos – RAM quanto à gravidade,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,Relação percentual entre o número de pacientes-dia e o número de leitos-dia no período.,SIH/DATASUS,HSLMB,> 85%,Taxa de Ocupação Hospitalar,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,Relação entre o total de pacientes-dia e o total de pacientes egressos no período.,SIH/DATASUS,HSLMB,< 5 dias,Média de Permanência Hospitalar (dias),IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,Tempo médio em que um leito permanece desocupado entre a saída de um paciente e a admissão de outro.,SIH/DATASUS,HSLMB,"< 0,88",Índice de intervalo de substituição (dias),IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,Taxa de pessoas que retornaram ao hospital em até 29 dias desde a última alta.,SIH/DATASUS,HSLMB,< 20%,Taxa de readmissão hospitalar (em até 29 dias),IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,Relação de procedimentos rejeitados no SIH em relação ao total de procedimentos apresentados.,SIH/DATASUS,HSLMB,< 1%,Percentual de Ocorrência de Glosas no SIH - DATASUS,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,Total de cirurgias programadas suspensas em relação ao total de cirurgias agendadas.,Mapa cirúrgico,HSLMB,< 5%,Percentual de suspensão de cirurgia programada por condições especiais,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Quantidade de cirurgias cesáreas no primeiro parto em relação ao número total de partos em primíparas. Não contabilizado para efeito de glosa, apenas monitoramento.",SIH/DATASUS,HSLMB,< 15%,Taxa de cesariana em primíparas,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Valores registrados na escala de APGAR ao 5º minuto. Não contabilizado para efeito de glosa, apenas monitoramento.",Prontuário hospitalar,HSLMB,> 7,Índice de APGAR de recém-nascidos vivos,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,Relação percentual entre o número de pacientes-dia e o número de leitos-dia no período.,SIH/SUS - DATASUS,HSLMB,≥85%,Taxa de Ocupação Hospitalar,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,Relação entre o total de pacientes-dia e o total de pacientes egressos no período.,SIH/SUS,HSLMB,≤7 dias,Média de Permanência Hospitalar,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,Mede a relação de procedimentos rejeitados no SIH em relação ao total de procedimentos apresentados.,SIH - DATASUS,HSLMB,≤1%,Percentual de Ocorrência de Glosas no SIH - DATASUS,IMED,0,contrato_gestao_inicial
