_ano_pasta,_doc_path,_filename,frequencia,hospital,indicador,meta,oss_gestora,tipo_documento,unidade
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,mensal,HSLMB,Pacientes-dia leitos críticos,274,IMED,contrato_gestao_inicial,pacientes-dia
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,mensal,HSLMB,Pacientes-dia leitos semicríticos,1034,IMED,contrato_gestao_inicial,pacientes-dia
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,mensal,HSLMB,Total pacientes-dia internações,1308,IMED,contrato_gestao_inicial,pacientes-dia
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,,HSLMB,Leitos para pacientes críticos,10,IMED,contrato_gestao_inicial,leitos
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,,HSLMB,Leitos para pacientes semicríticos,40,IMED,contrato_gestao_inicial,leitos
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,mensal,HSLMB,"Saídas hospitalares (clínica, cirúrgica, obstétrica e pediátrica)",306,IMED,contrato_gestao_inicial,saídas/mês
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,outro,HSLMB,Saídas hospitalares total no período,1836,IMED,contrato_gestao_inicial,saídas
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,mensal,HSLMB,"Cirurgias programadas (Cirurgia Geral, Ginecologia, Ortopedia, Vascular/Flebotomia)",25,IMED,contrato_gestao_inicial,cirurgias/mês
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,outro,HSLMB,Cirurgias programadas total no período,150,IMED,contrato_gestao_inicial,cirurgias
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,mensal,HSLMB,Consultas médicas ambulatoriais,828,IMED,contrato_gestao_inicial,consultas/mês
