_ano_pasta,_doc_path,_filename,condicao_aplicacao,descricao,hospital,oss_gestora,tipo_documento,valor_ou_percentual
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,"Inobservância de regra constante do contrato ou de lei, omissão na prestação de contas e/ou utilização incorreta dos recursos",Advertência,HSLMB,IMED,contrato_gestao_inicial,
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,"Inobservância de regra constante do contrato ou de lei, omissão na prestação de contas e/ou utilização incorreta dos recursos",Suspensão da execução do Contrato de Gestão Emergencial,HSLMB,IMED,contrato_gestao_inicial,
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,"Conforme art. 15, §2º da Lei estadual nº 15.503/2005","Multa proporcional à gravidade do fato, aplicada individual e solidariamente aos dirigentes do Parceiro Privado",HSLMB,IMED,contrato_gestao_inicial,proporcional à gravidade
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,"Descumprimento de cláusulas, não cumprimento de metas por dois bimestres, utilização irregular de recursos, perda de qualificação como OS, entre outros",Rescisão do Contrato de Gestão Emergencial,HSLMB,IMED,contrato_gestao_inicial,
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,Graves irregularidades na execução do contrato,Desqualificação como organização social,HSLMB,IMED,contrato_gestao_inicial,
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,Graves irregularidades na utilização dos recursos públicos,Instauração de Tomada de Contas Especial,HSLMB,IMED,contrato_gestao_inicial,
2020,C:\OSS-Goias\documentos\IMED\HSLMB\2020\05_Contrato_Gestao_Aditivos\2020-11_Contrato-de-Gestao-no-50-2020.pdf,2020-11_Contrato-de-Gestao-no-50-2020,Descumprimento da obrigatoriedade de implantação do Programa de Integridade,Multa por descumprimento do Programa de Integridade (Lei estadual nº 20.489/2019),HSLMB,IMED,contrato_gestao_inicial,"0,1% por dia sobre o valor atualizado do contrato"
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Inobservância de regra contratual ou legal, omissão na prestação de contas e/ou utilização incorreta dos recursos repassados.",Advertência,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Inobservância de regra contratual ou legal, omissão na prestação de contas e/ou utilização incorreta dos recursos repassados.",Suspensão da execução do Contrato de Gestão Emergencial,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Conforme previsto no artigo 15, §2º da Lei estadual nº 15.503/2005.","Multa proporcional à gravidade do fato, aplicada individual e solidariamente aos dirigentes do Parceiro Privado",HSLMB,IMED,contrato_gestao_inicial,proporcional à gravidade
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Inobservância de regra contratual ou legal, omissão na prestação de contas e/ou utilização incorreta dos recursos repassados.",Rescisão do Contrato de Gestão Emergencial,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Inobservância de regra contratual ou legal, omissão na prestação de contas e/ou utilização incorreta dos recursos repassados.",Desqualificação como organização social,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Inobservância de regra contratual ou legal, omissão na prestação de contas e/ou utilização incorreta dos recursos repassados.",Instauração de Tomada de Contas Especial,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,Não cumprimento das metas de desempenho avaliadas em regime trimestral.,Desconto de até 10% da parcela mensal por não cumprimento das metas de desempenho,HSLMB,IMED,contrato_gestao_inicial,até 10%
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,Descumprimento da exigência prevista na Lei estadual nº 20.489/2019 sobre implantação do Programa de Integridade.,"Multa de 0,1% por dia pelo descumprimento da exigência do Programa de Integridade",HSLMB,IMED,contrato_gestao_inicial,"0,1% por dia sobre o valor atualizado do contrato"
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO.pdf,2021-05_CONTRATO-DE-GESTAO-021-2021-ASSINADO,"Produção assistencial abaixo do volume contratado, avaliada semestralmente.",Desconto financeiro proporcional por produção assistencial abaixo do contratado,HSLMB,IMED,contrato_gestao_inicial,70% a 100% do orçamento conforme faixa de produção
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,"Inobservância de regra constante do contrato ou de lei, omissão na prestação de contas e/ou utilização incorreta dos recursos repassados.",Advertência,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,"Inobservância de regra constante do contrato ou de lei, omissão na prestação de contas e/ou utilização incorreta dos recursos repassados.",Suspensão da execução do Contrato de Gestão Emergencial,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,"Conforme art. 15, §2º da Lei estadual nº 15.503/2005.","Multa proporcional à gravidade do fato, aplicada individual e solidariamente aos dirigentes do Parceiro Privado",HSLMB,IMED,contrato_gestao_inicial,proporcional à gravidade
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,"Descumprimento de cláusulas, utilização de recursos em desacordo, perda de qualificação como OS, não cumprimento de metas por dois bimestres, entre outros.",Rescisão do Contrato de Gestão Emergencial,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,Inobservância grave das obrigações contratuais ou legais.,Desqualificação como organização social,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,Irregularidades na utilização dos recursos públicos.,Instauração de Tomada de Contas Especial,HSLMB,IMED,contrato_gestao_inicial,
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,"Não cumprimento das metas de produção pactuadas, conforme percentual de alcance de cada indicador.",Desconto financeiro de até 10% da parcela mensal por não cumprimento de metas de produção,HSLMB,IMED,contrato_gestao_inicial,até 10%
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_Contrato-024-22.pdf,2022-05_Contrato-024-22,"Inobservância de regra do contrato ou de lei, omissão na prestação de contas e/ou utilização incorreta dos recursos",Advertência,HSLMB,IMED,contrato_gestao_inicial,
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_Contrato-024-22.pdf,2022-05_Contrato-024-22,"Inobservância de regra do contrato ou de lei, omissão na prestação de contas e/ou utilização incorreta dos recursos",Suspensão da execução do Contrato de Gestão Emergencial,HSLMB,IMED,contrato_gestao_inicial,
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_Contrato-024-22.pdf,2022-05_Contrato-024-22,"Conforme previsto no artigo 15, §2º da Lei estadual nº 15.503/2005","Multa proporcional à gravidade do fato, aplicada individual e solidariamente aos dirigentes do Parceiro Privado",HSLMB,IMED,contrato_gestao_inicial,proporcional à gravidade
