_ano_pasta,_doc_path,_filename,carga_horaria,categoria,hospital,oss_gestora,quantidade,tipo_documento
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,,Responsável Técnico Médico,HSLMB,IMED,1,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,,Responsável Técnico de Enfermagem,HSLMB,IMED,1,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,diurno,Médico Hospitalista (diarista),HSLMB,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,,Farmacêutico,HSLMB,IMED,0,contrato_gestao_inicial
2021,C:\OSS-Goias\documentos\IMED\HSLMB\2021\05_Contrato_Gestao_Aditivos\2021-10_Contrato-GestOo-Emeregncia_046-2021.pdf,2021-10_Contrato-GestOo-Emeregncia_046-2021,,Nutricionista,HSLMB,IMED,0,contrato_gestao_inicial
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_Contrato-024-22.pdf,2022-05_Contrato-024-22,,Responsável Técnico Médico,HSLMB,IMED,1,contrato_gestao_inicial
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_Contrato-024-22.pdf,2022-05_Contrato-024-22,,Responsável Técnico de Enfermagem,HSLMB,IMED,1,contrato_gestao_inicial
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_Contrato-024-22.pdf,2022-05_Contrato-024-22,,Equipe médica por especialidade (hospitalista/diarista),HSLMB,IMED,0,contrato_gestao_inicial
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-05_Contrato-024-22.pdf,2022-05_Contrato-024-22,,"Coordenadores, supervisores, preceptores e tutores de Residência",HSLMB,IMED,0,contrato_gestao_inicial
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,,Responsável Técnico - área médica,HEL,Instituto Patris,1,termo_aditivo
