_ano_pasta,_doc_path,_filename,ano_mes,entradas,fonte_entrada,hospital,oss_gestora,periodo.ano,periodo.mes,periodo.tipo_periodo,saidas,saldo_acumulado
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,2023-01,8480605.74,Repasse SES custeio + rendimentos + outras entradas,HDT,ISG,2023,1,mensal,7353671.85,4482398.17
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,2023-02,6761281.26,Repasse CUSTEIO SES + Rendimentos + Outras entradas,HDT,ISG,2023,2,mensal,7725270.55,3518408.88
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,2023-03,8583121.85,Repasse SES-GO custeio + rendimentos financeiros + outras entradas,HDT,ISG,2023,3,mensal,7429403.17,4672127.56
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,2023-04,8532704.27,Repasse SES-GO custeio + rendimentos + outras entradas,HDT,ISG,2023,4,mensal,7160518.07,6044313.76
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,2023-05,9346522.89,Repasse SES custeio + rendimentos + outras entradas,HDT,ISG,2023,5,mensal,7956924.74,7433911.91
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\06.2023-Fluxo-de-Caixa-HDT.pdf-ass.pdf,06.2023-Fluxo-de-Caixa-HDT.pdf-ass,2023-06,6718309.19,Repasse SES-GO (custeio) + rendimentos + outras entradas,HDT,ISG,2023,6,mensal,9992662.4,4159558.7
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\07.2023-Fluxo-de-Caixa-HDT.pdf,07.2023-Fluxo-de-Caixa-HDT,2023-07,9687227.19,Repasse SES-GO (Custeio) + Rendimentos + Outras entradas,HDT,ISG,2023,7,mensal,7593029.39,6253756.5
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\08.2023-Fluxo-de-Caixa-HDT.pdf,08.2023-Fluxo-de-Caixa-HDT,2023-08,6661141.84,Repasse SES CUSTEIO + Rendimentos + Outras entradas,HDT,ISG,2023,8,mensal,7922668.49,4992229.85
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\09.2023-Fluxo-de-Caixa-HDT.pdf,09.2023-Fluxo-de-Caixa-HDT,2023-09,7325959.46,Repasse SES Custeio + Rendimentos + Outras Entradas,HDT,ISG,2023,9,mensal,8111970.64,4206218.67
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1 Relatório financeiro Mensal Heana.pdf,1 Relatório financeiro Mensal Heana,2023-04,8559218.78,Repasse CUSTEIO + Rendimentos + Outras entradas,HEANA,FUNEV,2023,4,mensal,7545640.85,11013506.88
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\10.2023-Fluxo-de-Caixa-HDT-1.pdf,10.2023-Fluxo-de-Caixa-HDT-1,2023-10,7379349.28,Repasse SES custeio + rendimentos + outras entradas,HDT,ISG,2023,10,mensal,7803179.37,3782388.58
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\11.2023-Fluxo-de-Caixa-HDT.pdf,11.2023-Fluxo-de-Caixa-HDT,2023-11,6932190.59,Repasse SES (Custeio) + Rendimentos + Outras entradas,HDT,ISG,2023,11,mensal,8261149.11,2453270.15
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\12.2023-Fluxo-de-Caixa-Sipef-HDT.pdf,12.2023-Fluxo-de-Caixa-Sipef-HDT,2023-12,7428512.16,Repasse SES-GO (Custeio) + Rendimentos + Outras Entradas,HDT,ISG,2023,12,mensal,8688869.69,1192912.62
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1697844107214-Heana.pdf,1697844107214-Heana,2023-09,10853504.29,"Repasse SES (Custeio + Investimento), Rendimentos sobre Aplicações Financeiras, Outras entradas",HEANA,FUNEV,2023,9,mensal,8815175.24,12846228.39
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1697844107219-3.9.1 Fluxo de Caixa 09-2023.xlsx,1697844107219-3.9.1 Fluxo de Caixa 09-2023,2023-09,10853504.29,"SES - Repasse Custeio e Investimento, Rendimentos, Outras entradas",HEANA,FUNEV,2023,9,mensal,8815175.238,12846228.392
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1700769610090-10. Relatório financeiro mensal Heana.pdf,1700769610090-10. Relatório financeiro mensal Heana,2023-10,9672538.22,Repasse SES + Rendimentos + Outras entradas,HEANA,FUNEV,2023,10,mensal,10267852.03,12250914.58
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1700769610094-3.9.1 Fluxo de Caixa Heana 10-2023.xlsx,1700769610094-3.9.1 Fluxo de Caixa Heana 10-2023,2023-10,9672538.22,Repasse SES + Rendimentos + Outras entradas,HEANA,FUNEV,2023,10,mensal,10267852.03,12250914.58
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1703542848593-Fluxo de Caixa HEANA.pdf,1703542848593-Fluxo de Caixa HEANA,2023-11,6099096.53,Repasse SES + Rendimentos + Outras entradas,HEANA,FUNEV,2023,11,mensal,12059006.86,6291004.25
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1703542848595-3.9.1 Fluxo de Caixa HEANA 11-2023.xlsx,1703542848595-3.9.1 Fluxo de Caixa HEANA 11-2023,2023-11,6099096.53,Repasse SES + Rendimentos + Resgates + Outras,HEANA,FUNEV,2023,11,mensal,12059006.86,6291004.25
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1704900100573-Fluxo de caixa_ Heana JAN.pdf,1704900100573-Fluxo de caixa_ Heana JAN,2023-01,8524757.25,Repasse SES (Custeio) + Rendimentos + Outras entradas,HEANA,FUNEV,2023,1,mensal,8592620.89,8149265.08
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\21_Relatorio_Comparativo_Recursos\1704900100576-HEANA 3.9.1 Fluxo de Caixa 01-2023.xlsx,1704900100576-HEANA 3.9.1 Fluxo de Caixa 01-2023,2023-01,8524757.25,Repasse SES + Rendimentos + Outras entradas,HEANA,FUNEV,2023,1,mensal,8592620.89,8149265.08
2023,"C:\OSS-Goias\documentos\IGH\HEAPA\2023\21_Relatorio_Comparativo_Recursos\2023.01 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder Público.pdf","2023.01 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder Público",2023-01,6886323.34,Repasse SES Custeio + Rendimentos + Outras entradas,HEAPA,IGH,2023,1,mensal,7233240.52,3474160.2
2023,"C:\OSS-Goias\documentos\IGH\HEAPA\2023\21_Relatorio_Comparativo_Recursos\2023.01 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder.xlsx","2023.01 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder",2023-01,6886323.34,Repasse SES + Rendimentos + Outras Entradas,HEAPA,IGH,2023,1,mensal,7233240.52,3474160.2
2023,"C:\OSS-Goias\documentos\IGH\HEAPA\2023\21_Relatorio_Comparativo_Recursos\2023.02 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder Público-Assinado.pdf","2023.02 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder Público-Assinado",2023-02,5184926.76,Repasse SES custeio + investimento + rendimentos + outras entradas,HEAPA,IGH,2023,2,mensal,5894846.56,2764240.4
2023,"C:\OSS-Goias\documentos\IGH\HEAPA\2023\21_Relatorio_Comparativo_Recursos\2023.02 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder.xlsx","2023.02 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder",2023-02,5184926.76,Repasse SES Custeio + Repasse SES Investimento + Rendimentos + Outras entradas,HEAPA,IGH,2023,2,mensal,5894846.56,2764240.4
2023,"C:\OSS-Goias\documentos\IGH\HEAPA\2023\21_Relatorio_Comparativo_Recursos\2023.03 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder Público-Assinado.pdf","2023.03 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao Poder Público-Assinado",2023-03,8504538.66,Repasse SES Custeio + Investimento + Rendimentos + Outras entradas,HEAPA,IGH,2023,3,mensal,8569186.84,2699592.22
2023,"C:\OSS-Goias\documentos\IGH\HEAPA\2023\21_Relatorio_Comparativo_Recursos\2023.03 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao.xlsx","2023.03 - HEAPA - Relatório mensal comparativo dos recursos recebidos, gastos e devolvidos ao",2023-03,8504538.66,"Repasse SES (Custeio + Investimento), Rendimentos, Recuperação de despesas, Desbloqueio judicial",HEAPA,IGH,2023,3,mensal,8569186.84,2699592.22
