_ano_pasta,_doc_path,_filename,cirurgias,consultas,especialidade,hospital,internacoes,oss_gestora,periodo.ano,periodo.mes,periodo.tipo_periodo,procedimentos
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Cardiologia (Risco Cirúrgico),HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),0,0,Cirurgia Geral,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),0,0,Gastroenterologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),0,0,Ginecologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Infectologia (VVS),HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),0,0,Ortopedia e Traumatologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),0,0,Proctologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),0,0,Urologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Angiologia (C. Vascular),HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Fisioterapia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Fonoterapia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Terapia Ocupacional,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Enfermeiro,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Nutricionista,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Farmácia - VVS,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Psicologia - VVS,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,0,Serviço Social - VVS,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Cardiologia (Risco Cirúrgico),HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),0,0,Cirurgia Geral,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),0,0,Gastroenterologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),0,0,Ginecologia,HEL,0,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Infectologia (VVS),HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),0,0,Ortopedia e Traumatologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),0,0,Proctologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),0,0,Urologia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Angiologia (C. Vascular),HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,-1,Clínica Médica,HEL,56,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,-1,Clínica Obstétrica,HEL,0,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,-1,Clínica Cirúrgica,HEL,0,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Fisioterapia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Fonoterapia,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Terapia Ocupacional,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Enfermeiro,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Nutricionista,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Farmácia - VVS,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Psicologia - VVS,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,0,Serviço Social - VVS,HEL,-1,Instituto Patris,2022,7,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1840_Relatório Gerencial de Produção (Agosto_2022).pdf,id1840_Relatório Gerencial de Produção (Agosto_2022),-1,-1,Clinica Médica,HEL,49,Instituto Patris,2022,8,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1840_Relatório Gerencial de Produção (Agosto_2022).pdf,id1840_Relatório Gerencial de Produção (Agosto_2022),-1,-1,Clinica Obstetrica,HEL,16,Instituto Patris,2022,8,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1840_Relatório Gerencial de Produção (Agosto_2022).pdf,id1840_Relatório Gerencial de Produção (Agosto_2022),-1,-1,Clinica Cirurgica,HEL,0,Instituto Patris,2022,8,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1840_Relatório Gerencial de Produção (Agosto_2022).pdf,id1840_Relatório Gerencial de Produção (Agosto_2022),-1,0,Cardiologia (Risco Cirurgico),HEL,-1,Instituto Patris,2022,8,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1840_Relatório Gerencial de Produção (Agosto_2022).pdf,id1840_Relatório Gerencial de Produção (Agosto_2022),0,0,Cirurgia Geral,HEL,-1,Instituto Patris,2022,8,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1840_Relatório Gerencial de Produção (Agosto_2022).pdf,id1840_Relatório Gerencial de Produção (Agosto_2022),0,10,Gastroenterologia,HEL,-1,Instituto Patris,2022,8,mensal,-1
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1840_Relatório Gerencial de Produção (Agosto_2022).pdf,id1840_Relatório Gerencial de Produção (Agosto_2022),0,0,Ginecologia,HEL,-1,Instituto Patris,2022,8,mensal,-1
