_ano_pasta,_doc_path,_filename,hospital,indicador,meta,oss_gestora,perc_atingimento,periodo.ano,periodo.mes,periodo.tipo_periodo,realizado,status
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Internações (Saídas Hospitalares),433,Instituto Patris,-1,2022,7,mensal,71,nao_atingido
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Cirurgias,280,Instituto Patris,-1,2022,7,mensal,0,nao_atingido
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Atendimento Ambulatorial,1906,Instituto Patris,-1,2022,7,mensal,0,nao_atingido
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,SADT Externo,1270,Instituto Patris,-1,2022,7,mensal,425,nao_atingido
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Hospital Dia,176,Instituto Patris,-1,2022,7,mensal,5,nao_atingido
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Atendimento de Urgência e Emergência,-1,Instituto Patris,-1,2022,7,mensal,1123,
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Total,4065,Instituto Patris,-1,2022,7,mensal,1624,nao_atingido
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Internações - Clínica Médica,200,Instituto Patris,-1,2022,7,mensal,56,nao_atingido
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Internações - Clínica Obstétrica,104,Instituto Patris,-1,2022,7,mensal,0,nao_atingido
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),HEL,Internações - Clínica Cirúrgica,129,Instituto Patris,-1,2022,7,mensal,0,nao_atingido
