_ano_pasta,_doc_path,_filename,atendimentos.altas_hospitalares,atendimentos.atendimentos_emergencia,atendimentos.cirurgias_eletivas,atendimentos.cirurgias_total,atendimentos.cirurgias_urgencia,atendimentos.consultas_ambulatoriais,atendimentos.exames_total,atendimentos.internacoes,atendimentos.internacoes_uti,atendimentos.obitos,hospital,indicadores_qualidade_hospitalar.satisfacao_paciente,indicadores_qualidade_hospitalar.taxa_infeccao_hospitalar,indicadores_qualidade_hospitalar.taxa_mortalidade_geral,indicadores_qualidade_hospitalar.taxa_mortalidade_uti,indicadores_qualidade_hospitalar.taxa_reinternacao_30d,indicadores_sus.aih_processadas,indicadores_sus.atendimentos_sia_sus,indicadores_sus.procedimentos_sigtap,leitos.leitos_uti,leitos.media_permanencia_dias,leitos.taxa_ocupacao_perc,leitos.total_leitos,observacoes,oss_gestora,periodo.ano,periodo.mes,periodo.tipo_periodo,periodo.trimestre,producao_por_especialidade_count,producao_vs_meta_count
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1838_Relatório Gerencial de Produção (Junho_2022).pdf,id1838_Relatório Gerencial de Produção (Junho_2022),-1,1123,0,0,-1,0,425,71,-1,-1,HEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório de Produção Hospitalar do Hospital Estadual de Luziânia (HEL) referente a Julho de 2022. Gestora: Instituto Patris (Presidente: Vittor Galdino). Diretor Geral: Sidnei Rugeri. Diretor Administrativo/Financeiro: Isnar Passos. Classificação de risco no atendimento de urgência/emergência: Vermelho=6, Laranja=54, Amarelo=174, Verde=353, Azul=536, Total=1.123. SADT Externo ofertado=1.270, realizado=425. O documento indica meta de cirurgias programadas como 180 e cirurgias ambulatoriais como 88. Todas as cirurgias realizadas em julho foram zero. O filename sugere junho/2022 mas o documento registra dados de Julho/2022.",Instituto Patris,2022,7,mensal,,17,21
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1839_Relatório Gerencial de Produção (Julho_2022).pdf,id1839_Relatório Gerencial de Produção (Julho_2022),-1,1123,0,0,-1,0,425,71,-1,-1,HEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório de Produção Hospitalar do Hospital Estadual de Luziânia (HEL), julho de 2022, gerido pelo Instituto Patris. Diretor Geral: Sidnei Rugeri; Diretor Administrativo/Financeiro: Isnar Passos; Presidente Instituto Patris: Vittor Galdino. Classificação de risco de urgência/emergência: Vermelho=6, Laranja=54, Amarelo=174, Verde=353, Azul=536, Total=1.123. Cirurgias ambulatoriais por especialidade: Varizes=0, Postectomias=0, Vasectomia=0. SADT Externo Ofertado=1270 (meta cumprida em oferta), mas realizado=425. Hospital em fase inicial de operação em julho/2022, com diversas especialidades sem atendimento registrado.",Instituto Patris,2022,7,mensal,,20,22
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1840_Relatório Gerencial de Produção (Agosto_2022).pdf,id1840_Relatório Gerencial de Produção (Agosto_2022),-1,1157,0,0,-1,10,522,72,-1,-1,HEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório de Produção Hospitalar do Hospital Estadual de Luziânia (HEL) referente ao mês de Agosto/2022. OSS gestora: Instituto Patris (Vittor Galdino - Presidente). Diretor Geral HEL: Sidnei Rugeri. Diretor Administrativo/Financeiro HEL: Isnar Passos. Classificação de Risco agosto: Vermelho=5, Laranja=77, Amarelo=153, Verde=334, Azul=588, Total=1.157. SADT Externo Ofertado Total=1472 vs meta 1270; SADT Externo Realizado Total=660 vs meta 1270. Nota: a tabela principal de internações apresenta 72 na linha de cabeçalho mas 65 no total detalhado por clínica (49+16+0=65).",Instituto Patris,2022,8,mensal,,20,31
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1841_Relatório Gerencial de Produção (Setembro_2022).pdf,id1841_Relatório Gerencial de Produção (Setembro_2022),-1,1668,0,0,-1,17,991,164,-1,-1,HEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório de Produção Hospitalar do Hospital Estadual de Luziânia (HEL) referente a Setembro de 2022. OSS gestora: Instituto Patris. Diretor Geral: Sidnei Rugeri. Diretor Administrativo/Financeiro: Isnar Passos. Presidente Instituto Patris: Vittor Galdino. O SADT Externo apresenta dois registros distintos: ofertado (1.472) e realizado (991). Acolhimento e Classificação de Risco: Vermelho=5, Laranja=95, Amarelo=271, Verde=775, Azul=522, Total=1.668. Cirurgias zeradas em todas as especialidades no mês de setembro.",Instituto Patris,2022,9,mensal,,23,31
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1842_Relatório Gerencial de Produção (Outubro_2022).pdf,id1842_Relatório Gerencial de Produção (Outubro_2022),176,1422,0,0,-1,13,895,191,-1,-1,HEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório de Produção Hospitalar do Hospital Estadual de Luziânia (HEL) referente ao mês de Outubro de 2022. OSS gestora: Instituto Patris (Presidente: Vittor Galdino). Diretor Geral: Sidnei Rugeri. Diretor Administrativo/Financeiro: Isnar Passos. SADT Externo apresenta valores distintos para ofertado (1.472) e realizado (895). Classificação de risco do atendimento de urgência/emergência: Vermelho 14, Laranja 69, Amarelo 280, Verde 876, Azul 183, Total 1.422. Consultas não médicas (Fisioterapia, Fonoterapia, Terapia ocupacional, Enfermeiro, Nutricionista, Farmácia-VVS, Psicologia-VVS, Serviço social-VVS) todas zeradas no mês.",Instituto Patris,2022,10,mensal,,12,23
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1843_Relatório Gerencial de Produção (Novembro_2022).pdf,id1843_Relatório Gerencial de Produção (Novembro_2022),-1,1199,0,0,-1,23,824,205,-1,-1,HEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório de Produção Hospitalar de Novembro de 2022 do Hospital Estadual de Luziânia (HEL), gerido pelo Instituto Patris. O documento apresenta classificação de risco do acolhimento: Vermelho=10, Laranja=77, Amarelo=234, Verde=787, Azul=91, Total=1.199. Cirurgias zeradas em todas as especialidades no mês de novembro. Atendimento ambulatorial de consulta não médica também zerado. SADT Externo Realizado total=824. Hospital Dia realizado=6 contra meta de 176. Assinado por Sidnei Rugeri (Diretor Geral HEL), Isnar Passos (Diretor Administrativo/Financeiro HEL), Vittor Galdino (Presidente Instituto Patris) e Guilherme Abraão Simão de Almeida (Presidente do Conselho de Administração).",Instituto Patris,2022,11,mensal,,23,31
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\34_Relatorio_Producao\id1844_Relatório Gerencial de Produção (Dezembro_2022).pdf,id1844_Relatório Gerencial de Produção (Dezembro_2022),-1,493,0,0,-1,8,790,69,-1,-1,HEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório de produção hospitalar do Hospital Estadual de Luziânia (HEL) referente ao mês de Dezembro de 2022, gerido pelo Instituto Patris. O período de atendimento ambulatorial e urgência/emergência foi de 01/12 a 12/12. A classificação de risco da urgência/emergência registrou: Vermelho 3, Laranja 20, Amarelo 87, Verde 326, Azul 57, totalizando 493. SADT Externo Ofertado totalizou 1472 contra meta de 1270. Cirurgias e consultas ambulatoriais foram praticamente zeradas no mês. Diretor Geral: Sidnei Rugeri. Diretor Administrativo/Financeiro: Isnar Passos. Presidente Instituto Patris: Vittor Galdino.",Instituto Patris,2022,12,mensal,,12,24
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\34_Relatorio_Producao\07.2023-Relatorio-Gerencial-de-Producao.pdf,07.2023-Relatorio-Gerencial-de-Producao,220,-1,-1,-1,-1,2191,17539,220,-1,-1,HDT,-1,-1,-1,-1,2.94,-1,-1,-1,-1,10.7,88,-1,"Hospital Estadual de Doenças Tropicais Dr. Anuar Auad (HDT), gerido pela ISG. Relatório assinado por Nathalya Mosonowa Souza (Assessora Técnica) e Dra. Karine Borges de Medeiros (Diretora Técnica). O dado de Percentual de ocorrência de rejeições no SIH não está disponível pois é obtido em dois meses subsequentes (marcado com asterisco). As saídas hospitalares totalizam 220, sendo utilizadas como proxy de internações/altas. SADT Externo de análises clínicas apresentou realização muito acima da meta (852% de cumprimento).",ISG,2023,7,mensal,,3,33
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\34_Relatorio_Producao\08.2023-Relatorio-Gerencial-de-Producao.pdf,08.2023-Relatorio-Gerencial-de-Producao,267,-1,-1,-1,-1,3713,21126,267,-1,-1,HDT,-1,-1,-1,-1,2.67,-1,-1,-1,-1,8.5,89,-1,"Relatório Gerencial de Produção do HDT (Hospital Estadual de Doenças Tropicais Dr. Anuar Auad), competência agosto/2023, gerido pela OSS ISG. O dado de Percentual de ocorrência de rejeições no SIH não está disponível pois é obtido em dois meses subsequentes. Taxa de readmissão hospitalar referência é 29 dias conforme contrato. Cirurgias eletivas com TMAT expirado: meta era reduzir abaixo de 50%, realizado 28% (atingido). Percentual de Suspensão de Cirurgias Eletivas por Condições Operacionais: realizado 0% contra meta de 5% (atingido). Assinado por Nathalya Mosonowa Souza (Assessora Técnica) e Dra. Karine Borges de Medeiros (Diretora Técnica).",ISG,2023,8,mensal,,3,33
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\34_Relatorio_Producao\09.2023-Relatorio-Gerencial-de-Producao.pdf,09.2023-Relatorio-Gerencial-de-Producao,251,-1,7,-1,-1,3641,4970,251,-1,-1,HDT,-1,-1,-1,-1,2.85,-1,-1,-1,-1,8.4,86,-1,"Relatório Gerencial de Produção - Competência Setembro/2023. Hospital Estadual de Doenças Tropicais Dr. Anuar Auad (HDT), gerido pela ISG. Tabela 5 (SADT Externo) tem cabeçalho indicando Agosto/2023 mas está inserida no relatório de Setembro/2023. O dado de rejeições no SIH é obtido em dois meses subsequentes, por isso marcado com asterisco (*) sem valor reportado. Assinado por Nathalya Mosonowa Souza (Assessora Técnica) e Dra. Karine Borges de Medeiros (Diretora Técnica).",ISG,2023,9,mensal,,3,33
