_ano_pasta,_doc_path,_filename,hospital,natureza_despesa,oss_gestora,periodo.ano,periodo.mes,periodo.tipo_periodo,rubrica,valor
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Custeio,ISG,2023,1,mensal,Pessoal,1971819.22
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Custeio,ISG,2023,1,mensal,Serviços,2820666.26
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Custeio,ISG,2023,1,mensal,Materiais e insumos,647096.34
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Custeio,ISG,2023,1,mensal,Bloqueio Judicial,8654.72
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Custeio,ISG,2023,1,mensal,"Tributos, Impostos, Taxas e Contribuições",333745.93
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Custeio,ISG,2023,1,mensal,Encargos Sociais,1415795.91
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Custeio,ISG,2023,1,mensal,Despesa Administrativa (rateio),136736.82
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Custeio,ISG,2023,1,mensal,Outras Saídas (fundo fixo e estornos),19156.65
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Investimento,ISG,2023,1,mensal,Aquisições de Bens (investimento),0.0
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Devolução,ISG,2023,1,mensal,Valores Devolvidos à Contratante - Custeio,0.0
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,HDT,Devolução,ISG,2023,1,mensal,Valores Devolvidos à Contratante - Investimento,0.0
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,HDT,Entrada,ISG,2023,2,mensal,Repasse - CUSTEIO,6748109.51
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,HDT,Entrada,ISG,2023,2,mensal,Rendimento sobre Aplicações Financeiras - CUSTEIO,8304.07
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,HDT,Entrada,ISG,2023,2,mensal,Outras entradas (Aporte de caixa fundo fixo 01/2023),3300.0
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,HDT,Entrada,ISG,2023,2,mensal,Outras entradas (Estorno de pagamentos a fornecedores),1557.68
